id_feu,unidad_regional,siniestro_fecha,siniestro_hora,provincia,id_provincia,departamento,id_departamento,localidad,zona_ocurrencia,via_publica,nombre_via,altura_km,entre_calle_1,entre_calle_2,latitud,longitud,ilesos,heridos,fallecidos,vehiculos,peatones,tipo_siniestro_multiple,tipo_siniestro_unico,despiste_previo,tipo_siniestro_otro,tipo_colision,cantidad_de_involucrados,trazado_via,configuracion_de_la_via,configuracion_de_la_via_otro_tipo,pendiente_declive,cono_de_vision,material_de_la_calzada,material_de_la_calzada_otro,estado_de_la_calzada,estado_fisico_ambiental,estado_de_conservacion_otro,division_fisica_de_la_via,division_fisica_de_la_via_otro,barreras_de_seguridad,banquinas,senalizacion_carteleria,senalizacion_horizontal,senalizacion_transitoria,luminosidad,luz_artificial,transito_restringido,estado_ambiental,visibilidad,visibilidad_otro,semaforo
182665,OBSERVATORIO VIAL,2023-12-30,12:30:00,CORRIENTES,18,CAPITAL,21,CORRIENTES,Urbana,Avenida,AV INDEPENDENCIA,4200,LAS PIEDRAS,,,,3,0,0,3,0,Colisión entre vehículos,Colisión entre vehículos,,,Multiple,3,,Intersección / cruce,,,No obstruido,Asfalto,,Apto,Seca,,Cantero central,,Ninguna,,Si,Si,No,Día,,,Despejado,,,Funciona
197455,OBSERVATORIO VIAL,2023-12-27,0:15:00,CORRIENTES,18,CAPITAL,21,CORRIENTES,Urbana,Avenida,CHACABUCO,1900,LAS HERAS,,,,1,1,0,2,0,Colisión entre vehículos,Colisión entre vehículos,,,Alcance,2,,Intersección / cruce,,,S/D,Asfalto,,Apto,Seca,,S/D,,S/D,,S/D,S/D,S/D,Noche,SI,,Despejado,,,Funciona
207065,OBSERVATORIO VIAL,2023-12-27,10:10:00,CORRIENTES,18,CAPITAL,21,CORRIENTES,Urbana,Calle,AV VERA,1300,CORDOBA,,,,1,1,0,2,0,Colisión entre vehículos,Colisión entre vehículos,,,Lateral,2,,Intersección / cruce,,,S/D,Asfalto,,Apto,Seca,,Cantero central,,Ninguna,,Si,Si,No,Día,,,Despejado,,,Sin Semáforo
202001,OBSERVATORIO VIAL,2023-12-24,13:50:00,CORRIENTES,18,CAPITAL,21,CORRIENTES,Urbana,Calle,RIVADAVIA,1499,SAN LORENZO,,,,2,0,0,2,0,Colisión entre vehículos,Colisión entre vehículos,,,,2,,Recta,,,,Asfalto,,Apto,Seca,,Ninguna,,Asfalto,,S/D,S/D,S/D,Día,,,Despejado,,,Sin Semáforo
207724,OBSERVATORIO VIAL,2023-12-24,23:45:00,CORRIENTES,18,CAPITAL,21,CORRIENTES,Urbana,Calle,LAVALLE,90,,,,,1,0,0,1,0,Despeñamiento,Despeñamiento,,,Lateral,1,,Otro,CORDON,,,Asfalto,,Apto,Seca,,Ninguna,,Ninguna,,S/D,S/D,S/D,Noche,NO,,Despejado,,,Sin Semáforo
181822,OBSERVATORIO VIAL,2023-12-23,9:00:00,CORRIENTES,18,CAPITAL,21,CORRIENTES,Urbana,Calle,SAN MARTIN,2100,ROCA,,,,2,0,0,2,0,Colisión entre vehículos,Colisión entre vehículos,,,,2,,Intersección / cruce,,,S/D,Asfalto,,Apto,Seca,,S/D,,S/D,,S/D,S/D,S/D,Día,,,Despejado,,,S/D
177774,OBSERVATORIO VIAL,2023-12-23,9:21:00,CORRIENTES,18,CAPITAL,21,CORRIENTES,Urbana,Calle,SAN LORENZO,1200,SIMÓN BOLIVAR,,-2.747.131,-5.883.213,1,1,0,2,0,Colisión entre vehículos,Colisión entre vehículos,,,,2,,Intersección / cruce,,,No obstruido,Asfalto,,Apto,Seca,,Ninguna,,Ninguna,,Si,Si,No,Día,,,Despejado,,,Sin Semáforo
189213,OBSERVATORIO VIAL,2023-12-21,14:00:00,CORRIENTES,18,CAPITAL,21,CORRIENTES,Urbana,Avenida,AV MAIPU,3500,PUNTA MOGOTES,,,,1,1,0,2,0,Colisión entre vehículos,Colisión entre vehículos,,,Angulo,2,,Intersección / cruce,,,S/D,Asfalto,,Apto,Seca,,S/D,,S/D,,Si,Si,Si,Día,,,Despejado,,,Sin Semáforo
190637,OBSERVATORIO VIAL,2023-12-21,10:05:00,CORRIENTES,18,CAPITAL,21,CORRIENTES,Urbana,Avenida,AVENIDA MAIPU,1700,FRAGATA SARMIENTO,,,,2,0,0,2,0,Colisión entre vehículos,Colisión entre vehículos,,,Angulo,2,,Recta,,,,Asfalto,,Apto,Seca,,S/D,,S/D,,S/D,S/D,S/D,Día,,,Despejado,,,Funciona
199127,OBSERVATORIO VIAL,2023-12-18,17:30:00,CORRIENTES,18,CAPITAL,21,CORRIENTES,Urbana,Calle,9 DE julio,700,MENDOZA,,,,3,0,0,2,0,Colisión entre vehículos,Colisión entre vehículos,,,,2,,Intersección / cruce,,,S/D,Asfalto,,Apto,Seca,,Ninguna,,Asfalto,,No,No,No,Día,,,Despejado,,,Sin Semáforo
212934,OBSERVATORIO VIAL,2023-12-17,19:50:00,CORRIENTES,18,CAPITAL,21,CORRIENTES,Urbana,Avenida,AV MAIPU,6000,GUAYQUIRARO,,,,0,2,0,1,0,Atropello a animal/es,Atropello a animal/es,,,Alcance,1,,Intersección / cruce,,,No obstruido,Asfalto,,Apto,Seca,,Otro,,Ninguna,,Si,Si,No,Noche,NO,,Despejado,,,Funciona
