id_feu,siniestro_fecha,provincia,id_provincia,numero,numero_ocupantes,tipo_involucrado,otro_tipo_involucrado,ano_vehiculo,uso_vehiculo,tipo_servicio_vehiculo,tipo_vehiculo_de_movilidad_personal,tipo_de_bicicleta,tipo_de_transporte_de_carga,sustancias_peligrosas,tipo_transporte_pasajeros,tipo_traccion_a_sangre
48796,2018-08-14 7:30:00,CORRIENTES,21,0,1,Automóvil,,2007,Privado,,,,,,,
48796,2018-08-14 7:30:00,CORRIENTES,21,1,1,Automóvil,,2010,Privado,,,,,,,
48823,2018-08-08 15:00:00,CORRIENTES,21,0,1,Automóvil,,2000,,,,,,,,
48823,2018-08-08 15:00:00,CORRIENTES,21,1,1,Automóvil,,2015,Privado,,,,,,,
48832,2018-08-10 14:10:00,CORRIENTES,21,0,1,Automóvil,,2016,Privado,,,,,,,
48832,2018-08-10 14:10:00,CORRIENTES,21,1,1,Motocicleta,,2018,Privado,,,,,,,
48833,2018-08-11 5:06:00,CORRIENTES,21,0,1,Automóvil,,2016,Privado,,,,,,,
48853,2018-08-20 12:30:00,CORRIENTES,21,0,1,Automóvil,,2015,Privado,,,,,,,
48853,2018-08-20 12:30:00,CORRIENTES,21,1,1,Automóvil,,2015,Privado,,,,,,,
48859,2018-08-21 14:20:00,CORRIENTES,21,0,1,Automóvil,,2018,Privado,,,,,,,
48859,2018-08-21 14:20:00,CORRIENTES,21,1,1,Motocicleta,,2010,Privado,Pax,,,,,,
48865,2018-08-23 13:45:00,CORRIENTES,21,0,1,Motocicleta,,2018,Privado,,,,,,,
48869,2018-08-25 10:30:00,CORRIENTES,21,0,1,Automóvil,,2015,Privado,Pax,,,,,,
48869,2018-08-25 10:30:00,CORRIENTES,21,1,1,Automóvil,,2016,,,,,,,,
48870,2018-08-26 6:36:00,CORRIENTES,21,0,3,Camioneta/Utilitario,,2018,Publico,,,,,,,
48870,2018-08-26 6:36:00,CORRIENTES,21,1,1,Otro,,2013,,,,,,,,
48918,2018-09-08 5:45:00,CORRIENTES,21,0,1,Automóvil,,2007,Privado,,,,,,,
48918,2018-09-08 5:45:00,CORRIENTES,21,1,1,Motocicleta,,2013,Privado,,,,,,,
48927,2018-09-12 17:00:00,CORRIENTES,21,0,1,Transporte de carga,,2011,Oficial,Carga,,,,,,
48927,2018-09-12 17:00:00,CORRIENTES,21,1,1,Motocicleta,,2017,Privado,,,,,,,
48937,2018-09-18 0:22:00,CORRIENTES,21,0,1,Motocicleta,,2014,Privado,,,,,,,
48937,2018-09-18 0:22:00,CORRIENTES,21,1,1,Automóvil,,1995,Privado,,,,,,,
48944,2018-09-19 9:00:00,CORRIENTES,21,0,1,Automóvil,,2015,Privado,,,,,,,
48944,2018-09-19 9:00:00,CORRIENTES,21,1,1,Motocicleta,,1941,Privado,,,,,,,
48951,2018-09-20 13:30:00,CORRIENTES,21,0,1,Automóvil,,2015,,,,,,,,
48951,2018-09-20 13:30:00,CORRIENTES,21,1,1,Transporte de carga,,2020,,,,,,,,
48955,2018-09-21 13:00:00,CORRIENTES,21,0,1,Motocicleta,,2006,Privado,,,,,,,
48967,2018-09-26 12:05:00,CORRIENTES,21,0,1,Motocicleta,,2010,Privado,,,,,,,
48967,2018-09-26 12:05:00,CORRIENTES,21,1,1,Motocicleta,,2009,Privado,,,,,,,
48978,2018-09-29 9:20:00,CORRIENTES,21,0,1,Automóvil,,2011,Privado,,,,,,,
48978,2018-09-29 9:20:00,CORRIENTES,21,1,1,Automóvil,,2013,Privado,,,,,,,
48989,2018-10-01 18:05:00,CORRIENTES,21,0,1,Motocicleta,,2017,Privado,,,,,,,
48989,2018-10-01 18:05:00,CORRIENTES,21,1,1,Camioneta/Utilitario,,2011,Privado,,,,,,,
48998,2018-10-08 13:10:00,CORRIENTES,21,0,1,Automóvil,,1999,Privado,,,,,,,
48998,2018-10-08 13:10:00,CORRIENTES,21,1,1,Motocicleta,,2017,Privado,,,,,,,
49013,2018-10-14 11:50:00,CORRIENTES,21,0,1,Motocicleta,,2018,Privado,,,,,,,
49013,2018-10-14 11:50:00,CORRIENTES,21,1,1,Automóvil,,2012,Privado,,,,,,,
49014,2018-10-14 20:50:00,CORRIENTES,21,0,1,Automóvil,,2015,Privado,,,,,,,
