id_feu,siniestro_fecha,provincia,id_provincia,numero,numero_ocupantes,tipo_involucrado,otro_tipo_involucrado,modelo,ano_vehiculo,uso_vehiculo,tipo_servicio_vehiculo,tipo_vehiculo_de_movilidad_personal,tipo_de_bicicleta,tipo_de_transporte_de_carga,sustancias_peligrosas,tipo_transporte_pasajeros,tipo_traccion_a_sangre
49205,2019-01-06 19:50:00,CORRIENTES,21,0,1,Camioneta/Utilitario,,HILUX 4X4 D/C SRX 2.8 TDI 6 A/T,2009,Publico,,,,,,,
49205,2019-01-06 19:50:00,CORRIENTES,21,1,1,Camioneta/Utilitario,,RANGER2 DC 4X4 LTD MT 3.2L DSL,2008,Publico,,,,,,,
49208,2019-01-12 13:15:00,CORRIENTES,21,0,1,Automóvil,,CORSA,2009,Privado,,,,,,,
49208,2019-01-12 13:15:00,CORRIENTES,21,1,1,Automóvil,,COROLLA,2013,Privado,,,,,,,
49229,2019-01-21 13:17:00,CORRIENTES,21,0,1,Automóvil,,ONIX 1.4 N LTZ,2018,Privado,,,,,,,
49229,2019-01-21 13:17:00,CORRIENTES,21,1,1,Motocicleta,,B110,2013,Privado,,,,,,,
49232,2019-01-21 18:30:00,CORRIENTES,21,0,1,Automóvil,,FIESTA 1.6L FLEET,2016,Privado,,,,,,,
49232,2019-01-21 18:30:00,CORRIENTES,21,1,1,Automóvil,,KA 1.6 XR,2012,Privado,,,,,,,
49237,2019-01-22 11:30:00,CORRIENTES,21,0,1,Motocicleta,,STYLER 250 CRUISER,2018,Privado,,,,,,,
49237,2019-01-22 11:30:00,CORRIENTES,21,1,1,Camioneta/Utilitario,,KANGOO RL GNC PLC IZQ,2006,Privado,,,,,,,
49255,2019-01-31 11:00:00,CORRIENTES,21,0,1,Motocicleta,,NX 650 R,2018,Privado,,,,,,,
49255,2019-01-31 11:00:00,CORRIENTES,21,1,1,Camioneta/Utilitario,,HILUX,2018,Privado,,,,,,,
49256,2019-01-31 10:30:00,CORRIENTES,21,0,1,Automóvil,,DUSTER CONFORT PLUS 1.6 4X2 ABS,2014,Privado,,,,,,,
49256,2019-01-31 10:30:00,CORRIENTES,21,1,1,Camioneta/Utilitario,,SAVEIRO,2012,Oficial,Carga,,,,,,
49258,2019-02-01 8:00:00,CORRIENTES,21,0,1,Automóvil,,CORSA GL 1.6 M.P.F.I.,2018,Privado,,,,,,,
49258,2019-02-01 8:00:00,CORRIENTES,21,1,1,Camioneta/Utilitario,,FRONTIER 4X4  XE 2.8TD(CAB.DOB.),2019,Privado,,,,,,,
49262,2019-02-02 20:40:00,CORRIENTES,21,0,1,Automóvil,,CROSSFOX 1.6,2012,Privado,,,,,,,
49262,2019-02-02 20:40:00,CORRIENTES,21,1,1,Motocicleta,,WAVE,2011,Privado,,,,,,,
49264,2019-02-03 7:00:00,CORRIENTES,21,0,1,Automóvil,,FOX,2014,Privado,,,,,,,
49264,2019-02-03 7:00:00,CORRIENTES,21,1,1,Motocicleta,,CG 150 TITAN,2018,Privado,,,,,,,
49295,2019-02-19 12:20:00,CORRIENTES,21,0,1,Automóvil,,SANDERO AUTHENTIQUE PACK I 1.6,,Privado,,,,,,,
49295,2019-02-19 12:20:00,CORRIENTES,21,1,1,Motocicleta,,WAVE 110,,Privado,,,,,,,
49309,2019-02-22 10:40:00,CORRIENTES,21,0,2,Motocicleta,,BLITZ,2018,Privado,,,,,,,
49309,2019-02-22 10:40:00,CORRIENTES,21,1,1,Automóvil,,DUSTER,2018,Privado,,,,,,,
49320,2019-02-27 7:45:00,CORRIENTES,21,0,1,Automóvil,,PALIO WEEKEND (F4) ADVENTURE 1.6 16V,2012,Privado,,,,,,,
49320,2019-02-27 7:45:00,CORRIENTES,21,1,1,Motocicleta,,WAVE 110,2017,Privado,,,,,,,
49328,2019-03-02 17:30:00,CORRIENTES,21,0,1,Automóvil,,PRISMA,2017,Privado,,,,,,,
49328,2019-03-02 17:30:00,CORRIENTES,21,1,1,Automóvil,,SIENA,2019,Privado,,,,,,,
49338,2019-03-09 7:36:00,CORRIENTES,21,0,1,Motocicleta,,QM 110,2018,Privado,,,,,,,
49342,2019-03-11 19:59:00,CORRIENTES,21,0,2,Automóvil,,SIENA,2011,,,,,,,,
49342,2019-03-11 19:59:00,CORRIENTES,21,1,1,Motocicleta,,STYLER,2017,,,,,,,,
49346,2019-03-11 17:40:00,CORRIENTES,21,0,2,Motocicleta,,T110 CRYPTON,2018,Privado,,,,,,,
49346,2019-03-11 17:40:00,CORRIENTES,21,1,1,Automóvil,,CORSA GL 1.4,2013,Publico,,,,,,,
49359,2019-03-17 4:20:00,CORRIENTES,21,0,1,Motocicleta,,C110,2018,Privado,,,,,,,
49364,2019-03-19 12:30:00,CORRIENTES,21,0,3,Automóvil,,LOGAN,2017,Publico,,,,,,,
49364,2019-03-19 12:30:00,CORRIENTES,21,1,2,Camioneta/Utilitario,,DUSTER PH2 EXPRESSION 1.6,2017,Privado,,,,,,,
49381,2019-03-21 12:10:00,CORRIENTES,21,0,2,Automóvil,,KA,2010,,,,,,,,
49381,2019-03-21 12:10:00,CORRIENTES,21,1,2,Motocicleta,,110 CC,,,,,,,,,
49381,2019-03-21 12:10:00,CORRIENTES,21,2,2,Camioneta/Utilitario,,AMAROK 2.0L TDI 180 CV 4X4 561,2014,Oficial,,,,,,,
49387,2019-03-25 14:40:00,CORRIENTES,21,0,1,Automóvil,,AGILE LTZ 5P 1.4N,2013,Privado,Pax,,,,,,
49387,2019-03-25 14:40:00,CORRIENTES,21,1,1,Motocicleta,,DUKE 200,2012,Privado,,,,,,,
49389,2019-03-25 17:00:00,CORRIENTES,21,0,1,Motocicleta,,WAVE 110,2011,Privado,,,,,,,
49392,2019-03-27 13:08:00,CORRIENTES,21,0,1,Motocicleta,,RX 150,2008,Privado,,,,,,,
49392,2019-03-27 13:08:00,CORRIENTES,21,1,2,Motocicleta,,ZB110D,2018,Privado,,,,,,,
49393,2019-03-27 15:30:00,CORRIENTES,21,0,1,Automóvil,,FIESTA,2008,Privado,,,,,,,
49393,2019-03-27 15:30:00,CORRIENTES,21,1,1,Camioneta/Utilitario,,FIORINO,2014,Privado,,,,,,,
49403,2019-04-01 14:40:00,CORRIENTES,21,0,1,Automóvil,,MEGANE II DCI CONFORT PLUS,2017,Publico,,,,,,,
49403,2019-04-01 14:40:00,CORRIENTES,21,1,1,Motocicleta,,SMASH,2018,Privado,,,,,,,
49408,2019-04-02 10:15:00,CORRIENTES,21,0,2,Motocicleta,,FZR,2018,Privado,,,,,,,
49408,2019-04-02 10:15:00,CORRIENTES,21,1,1,Camioneta/Utilitario,,,2013,,,,,,,,
49409,2019-04-02 10:15:00,CORRIENTES,21,0,2,Motocicleta,,FZR,2018,Privado,,,,,,,
49409,2019-04-02 10:15:00,CORRIENTES,21,1,1,Camioneta/Utilitario,,,2013,,,,,,,,
49416,2019-04-03 9:20:00,CORRIENTES,21,0,1,Motocicleta,,110 CC,2018,Privado,,,,,,,
49416,2019-04-03 9:20:00,CORRIENTES,21,1,1,Motocicleta,,110 C.C.,2018,Privado,,,,,,,
49419,2019-04-05 18:00:00,CORRIENTES,21,0,1,Automóvil,,PALIO,2016,Publico,,,,,,,
49419,2019-04-05 18:00:00,CORRIENTES,21,1,1,Motocicleta,,SMASH,2017,Privado,,,,,,,
49422,2019-04-08 5:40:00,CORRIENTES,21,0,3,Motocicleta,,TORNADO,2018,Privado,,,,,,,
49443,2019-04-04 6:20:00,CORRIENTES,21,0,1,Motocicleta,,SMASH,2018,Privado,,,,,,,
49449,2019-04-13 15:10:00,CORRIENTES,21,0,1,Automóvil,,CLASSIC 4P LT SPIRIT PACK 1.4N,2016,Privado,,,,,,,
49449,2019-04-13 15:10:00,CORRIENTES,21,1,1,Motocicleta,,FZ 16,2012,Privado,,,,,,,
49477,2019-04-24 15:30:00,CORRIENTES,21,0,1,Automóvil,,GOL TREND COMFORTLINE 1.6 MSI,2011,Privado,,,,,,,
49477,2019-04-24 15:30:00,CORRIENTES,21,1,1,Camioneta/Utilitario,,PARTNER,2016,Privado,,,,,,,
49481,2019-04-25 19:35:00,CORRIENTES,21,0,1,Transporte de carga,,R164 GA4X2NA 480,2012,Privado,,,,,,,
49481,2019-04-25 19:35:00,CORRIENTES,21,1,1,Motocicleta,,TRX 90,2011,Privado,,,,,,,
49484,2019-04-27 8:40:00,CORRIENTES,21,0,1,Automóvil,,PRISMA 1.4 N LT,2015,Privado,,,,,,,
49484,2019-04-27 8:40:00,CORRIENTES,21,1,1,Automóvil,,207 COMPACT ACTIVE 1.4 N 5P,2014,Privado,,,,,,,
49494,2019-05-01 11:45:00,CORRIENTES,21,0,2,Motocicleta,,CG 150 TITAN,2018,Privado,,,,,,,
49494,2019-05-01 11:45:00,CORRIENTES,21,1,1,Camioneta/Utilitario,,FIORINO,2018,Privado,Pax,,,,,,
49495,2019-05-01 6:00:00,CORRIENTES,21,0,1,Automóvil,,FOX 1.6 I MOTION,2012,Privado,,,,,,,
49495,2019-05-01 6:00:00,CORRIENTES,21,1,1,Motocicleta,,ZB110,2014,Privado,,,,,,,
49498,2019-05-04 6:00:00,CORRIENTES,21,0,1,Motocicleta,,CBX 1100,2018,Privado,,,,,,,
49508,2019-05-10 1:15:00,CORRIENTES,21,0,1,Automóvil,,FIESTA,2005,Privado,,,,,,,
49508,2019-05-10 1:15:00,CORRIENTES,21,1,1,Motocicleta,,WAVE 110,2011,Privado,,,,,,,
49523,2019-05-14 8:00:00,CORRIENTES,21,0,1,Automóvil,,ONIX,2016,Privado,,,,,,,
49523,2019-05-14 8:00:00,CORRIENTES,21,1,2,Motocicleta,,G 100 TRIP,2008,Privado,,,,,,,
49525,2019-05-14 23:00:00,CORRIENTES,21,0,1,Automóvil,,FOCUS,2016,Privado,Pax,,,,,,
49525,2019-05-14 23:00:00,CORRIENTES,21,1,1,Motocicleta,,YBR 125,2010,,,,,,,,
49544,2019-05-29 9:30:00,CORRIENTES,21,0,1,Motocicleta,,TORNADO,2018,Oficial,,,,,,,
49544,2019-05-29 9:30:00,CORRIENTES,21,1,1,Automóvil,,CLASSIC 4P LT SPIRIT PACK 1.4N,2015,Privado,,,,,,,
49554,2019-06-03 12:10:00,CORRIENTES,21,0,2,Automóvil,,CIVIC,2012,Privado,,,,,,,
49554,2019-06-03 12:10:00,CORRIENTES,21,1,2,Camioneta/Utilitario,,HILUX,2017,Privado,,,,,,,
49560,2019-06-04 15:45:00,CORRIENTES,21,0,2,Automóvil,,PALIO,2016,Privado,,,,,,,
49560,2019-06-04 15:45:00,CORRIENTES,21,1,1,Camioneta/Utilitario,,F 100 DIESEL 4X4,1990,Privado,,,,,,,
49574,2019-06-11 22:10:00,CORRIENTES,21,0,1,Motocicleta,,CG 150 TITAN,2018,Privado,,,,,,,
